date,region,numtotal,numtested,numactive,numtoday,ratetested
2020-04-06,Ontario,4347,79125.0,2591.0,309,5432.0
2020-04-06,Quebec,8580,100113.0,7848.0,636,11799.0
2020-04-06,Newfoundland and Labrador,226,3776.0,192.0,9,7240.0
2020-04-06,New Brunswick,103,5678.0,73.0,2,7309.0
2020-04-06,Nova Scotia,293,10738.0,229.0,31,11054.0
2020-04-06,Prince Edward Island,22,839.0,14.0,0,5346.0
2020-04-06,Yukon,7,775.0,3.0,1,18970.0
2020-04-06,Northwest Territories,5,1217.0,4.0,1,27149.0
2020-04-06,Canada,16667,336806.0,12728.0,1155,8960.0
2020-04-07,British Columbia,1291,43257.0,465.0,25,8530.0
2020-04-07,Alberta,1373,65265.0,1347.0,25,14930.0
2020-04-07,Saskatchewan,260,14203.0,257.0,7,12093.0
2020-04-07,Manitoba,217,13990.0,214.0,13,10216.0
2020-04-07,Ontario,4726,82055.0,4573.0,379,5633.0
2020-04-07,Quebec,9340,104526.0,9190.0,760,12319.0
2020-04-07,Newfoundland and Labrador,228,3958.0,226.0,2,7589.0
2020-04-07,New Brunswick,105,6102.0,105.0,2,7855.0
2020-04-07,Nova Scotia,310,11559.0,310.0,17,11899.0
2020-04-07,Prince Edward Island,22,939.0,22.0,0,5983.0
2020-04-07,Yukon,7,787.0,7.0,0,19264.0
2020-04-07,Northwest Territories,5,1230.0,5.0,0,27439.0
2020-04-07,Canada,17897,348105.0,17517.0,1230,9261.0
2020-04-08,British Columbia,1336,44269.0,450.0,45,8729.0
2020-04-08,Alberta,1423,66783.0,1394.0,50,15278.0
2020-04-08,Saskatchewan,271,15059.0,268.0,11,12822.0
2020-04-08,Manitoba,221,14569.0,218.0,4,10638.0
2020-04-08,Ontario,5276,85703.0,5102.0,550,5884.0
2020-04-08,Quebec,10031,109270.0,9856.0,691,12878.0
2020-04-08,Newfoundland and Labrador,232,4135.0,230.0,4,7928.0
2020-04-08,New Brunswick,108,6477.0,108.0,3,8338.0
2020-04-08,Nova Scotia,342,12072.0,341.0,32,12427.0
2020-04-08,Prince Edward Island,24,1347.0,24.0,2,8583.0
2020-04-08,Yukon,7,794.0,7.0,0,19435.0
2020-04-08,Northwest Territories,5,1251.0,5.0,0,27908.0
2020-04-08,Canada,19289,361969.0,18854.0,1392,9630.0
2020-04-09,British Columbia,1370,45156.0,462.0,34,8904.0
2020-04-09,Alberta,1451,68116.0,1419.0,28,15582.0
2020-04-09,Saskatchewan,278,16059.0,275.0,7,13673.0
2020-04-09,Manitoba,224,14569.0,221.0,3,10638.0
2020-04-09,Ontario,5759,89906.0,5559.0,483,6172.0
2020-04-09,Quebec,10912,113365.0,10696.0,881,13361.0
2020-04-09,Newfoundland and Labrador,236,4384.0,233.0,4,8406.0
2020-04-09,New Brunswick,111,6949.0,111.0,3,8945.0
2020-04-09,Nova Scotia,373,13045.0,371.0,31,13429.0
2020-04-09,Prince Edward Island,25,1435.0,25.0,1,9143.0
2020-04-09,Yukon,8,806.0,8.0,1,19729.0
2020-04-09,Northwest Territories,5,1265.0,5.0,0,28220.0
2020-04-09,Canada,20765,375302.0,20256.0,1476,9984.0
2020-04-10,British Columbia,1410,46236.0,476.0,40,9117.0
2020-04-10,Alberta,1500,70080.0,1461.0,49,16032.0
2020-04-10,Saskatchewan,285,16952.0,282.0,7,14434.0
2020-04-10,Manitoba,230,16075.0,226.0,6,11738.0
2020-04-10,Ontario,6237,94271.0,6015.0,478,6472.0
2020-04-10,Quebec,11677,118217.0,11436.0,765,13933.0
2020-04-10,Newfoundland and Labrador,239,4520.0,236.0,3,8667.0
2020-04-10,New Brunswick,112,7299.0,112.0,1,9396.0
2020-04-10,Nova Scotia,407,13881.0,405.0,34,14290.0
2020-04-10,Prince Edward Island,25,1435.0,25.0,0,9143.0
2020-04-10,Yukon,8,806.0,8.0,0,19729.0
2020-04-10,Northwest Territories,5,1342.0,5.0,0,29938.0
2020-04-10,Canada,22148,391375.0,21579.0,1383,10412.0
2020-04-11,British Columbia,1445,46236.0,482.0,35,9117.0
2020-04-11,Alberta,1569,72779.0,1529.0,69,16649.0
2020-04-11,Saskatchewan,289,17716.0,285.0,4,15084.0
2020-04-11,Manitoba,243,16220.0,239.0,13,11844.0
2020-04-11,Ontario,6648,97838.0,6395.0,411,6717.0
2020-04-11,Quebec,12292,123115.0,12003.0,615,14510.0
2020-04-11,Newfoundland and Labrador,241,4713.0,238.0,2,9037.0
2020-04-11,New Brunswick,112,7500.0,112.0,0,9655.0
2020-04-11,Nova Scotia,428,14511.0,426.0,21,14938.0
2020-04-11,Prince Edward Island,25,1577.0,25.0,0,10048.0
2020-04-11,Yukon,8,815.0,8.0,0,19949.0
2020-04-11,Northwest Territories,5,1370.0,5.0,0,30563.0
2020-04-11,Canada,23318,404651.0,22665.0,1170,10765.0
2020-04-12,British Columbia,1445,48360.0,482.0,0,9536.0
2020-04-12,Alberta,1651,74709.0,1607.0,82,17091.0
2020-04-12,Saskatchewan,298,18499.0,294.0,9,15751.0
2020-04-12,Manitoba,242,17066.0,238.0,-1,12462.0
2020-04-12,Ontario,7049,104784.0,6775.0,401,7193.0
2020-04-12,Quebec,12846,126771.0,12518.0,554,14941.0
2020-04-12,Newfoundland and Labrador,242,4812.0,239.0,1,9226.0
2020-04-12,New Brunswick,114,7760.0,114.0,2,9989.0
2020-04-12,Nova Scotia,445,15329.0,443.0,17,15780.0
2020-04-12,Prince Edward Island,25,1645.0,25.0,0,10481.0
2020-04-12,Yukon,8,815.0,8.0,0,19949.0
2020-04-12,Northwest Territories,5,1386.0,5.0,0,30920.0
2020-04-12,Canada,24383,422200.0,23666.0,1065,11232.0
2020-04-13,British Columbia,1490,49370.0,495.0,45,9735.0
2020-04-13,Alberta,1732,77007.0,1686.0,81,17616.0
2020-04-13,Saskatchewan,300,18995.0,296.0,2,16173.0
2020-04-13,Manitoba,246,17119.0,242.0,4,12501.0
2020-04-13,Ontario,7470,109764.0,7179.0,421,7535.0
2020-04-13,Quebec,13557,131570.0,13197.0,711,15506.0
2020-04-13,Newfoundland and Labrador,244,4897.0,241.0,2,9389.0
2020-04-13,New Brunswick,116,8004.0,116.0,2,10303.0
2020-04-13,Nova Scotia,474,16548.0,471.0,29,17035.0
2020-04-13,Prince Edward Island,25,1715.0,25.0,0,10927.0
2020-04-13,Yukon,8,832.0,8.0,0,20365.0
2020-04-13,Northwest Territories,5,1390.0,5.0,0,31009.0
2020-04-13,Canada,25680,437475.0,24900.0,1297,11638.0
2020-04-14,British Columbia,1517,50134.0,503.0,27,9886.0
2020-04-14,Alberta,1870,79695.0,1822.0,138,18231.0
2020-04-14,Saskatchewan,301,19442.0,297.0,1,16554.0
2020-04-14,Manitoba,246,17789.0,242.0,0,12990.0
2020-04-14,Ontario,7953,115189.0,7619.0,483,7908.0
2020-04-14,Quebec,14248,137451.0,13813.0,691,16199.0
2020-04-14,Newfoundland and Labrador,244,5370.0,241.0,0,10296.0
2020-04-14,New Brunswick,116,8229.0,116.0,0,10593.0
2020-04-14,Nova Scotia,517,17477.0,514.0,43,17992.0
2020-04-14,Prince Edward Island,25,1715.0,25.0,0,10927.0
2020-04-14,Yukon,8,835.0,8.0,0,20439.0
2020-04-14,Northwest Territories,5,1393.0,5.0,0,31076.0
2020-04-14,Canada,27063,454983.0,26160.0,1383,12104.0
2020-04-15,British Columbia,1561,50438.0,531.0,44,9946.0
2020-04-15,Alberta,1996,79695.0,1948.0,126,18231.0
2020-04-15,Saskatchewan,304,20013.0,300.0,3,17040.0
2020-04-15,Manitoba,246,17789.0,241.0,0,12990.0
2020-04-15,Ontario,8447,120182.0,8062.0,494,8251.0
2020-04-15,Quebec,14860,143174.0,14373.0,612,16874.0
2020-04-15,Newfoundland and Labrador,247,5157.0,244.0,3,9888.0
2020-04-15,New Brunswick,117,8674.0,117.0,1,11166.0
2020-04-15,Nova Scotia,549,18245.0,546.0,32,18782.0
