date,region,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-04-04,Quebec,6997,75.0,6922.0,896,90227.0,82.46,10634.0
2020-04-04,Newfoundland and Labrador,195,1.0,194.0,12,3345.0,37.39,6414.0
2020-04-04,New Brunswick,98,0.0,98.0,3,5297.0,12.62,6819.0
2020-04-04,Nova Scotia,236,0.0,236.0,29,9722.0,24.29,10008.0
2020-04-04,Prince Edward Island,22,0.0,22.0,0,839.0,14.02,5346.0
2020-04-04,Yukon,6,0.0,6.0,0,765.0,14.69,18725.0
2020-04-04,Northwest Territories,4,0.0,4.0,0,1169.0,8.92,26079.0
2020-04-04,Canada,13904,231.0,13673.0,1367,311971.0,36.99,8299.0
2020-04-05,British Columbia,1203,38.0,461.0,0,41556.0,23.72,8194.0
2020-04-05,Alberta,1250,23.0,987.0,175,63315.0,28.6,14484.0
2020-04-05,Saskatchewan,249,3.0,191.0,18,13055.0,21.2,11116.0
2020-04-05,Manitoba,203,2.0,184.0,9,12771.0,14.82,9326.0
2020-04-05,Ontario,4038,119.0,2700.0,408,76027.0,27.72,5219.0
2020-04-05,Quebec,7944,94.0,7850.0,947,95955.0,93.62,11309.0
2020-04-05,Newfoundland and Labrador,217,1.0,205.0,22,3556.0,41.61,6818.0
2020-04-05,New Brunswick,101,0.0,73.0,3,5421.0,13.0,6978.0
2020-04-05,Nova Scotia,262,0.0,212.0,26,10084.0,26.97,10381.0
2020-04-05,Prince Edward Island,22,0.0,16.0,0,839.0,14.02,5346.0
2020-04-05,Yukon,6,0.0,2.0,0,770.0,14.69,18848.0
2020-04-05,Northwest Territories,4,0.0,3.0,0,1215.0,8.92,27105.0
2020-04-05,Canada,15512,280.0,12897.0,1608,324791.0,41.27,8641.0
2020-04-06,British Columbia,1266,39.0,444.0,63,42665.0,24.96,8413.0
2020-04-06,Alberta,1348,24.0,963.0,98,64183.0,30.84,14683.0
2020-04-06,Saskatchewan,253,3.0,169.0,4,13680.0,21.54,11648.0
2020-04-06,Manitoba,204,2.0,185.0,1,13788.0,14.9,10068.0
2020-04-06,Ontario,4347,132.0,2591.0,309,79125.0,29.84,5432.0
2020-04-06,Quebec,8580,121.0,7848.0,636,100113.0,101.12,11799.0
2020-04-06,Newfoundland and Labrador,226,2.0,192.0,9,3776.0,43.33,7240.0
2020-04-06,New Brunswick,103,0.0,73.0,2,5678.0,13.26,7309.0
2020-04-06,Nova Scotia,293,0.0,229.0,31,10738.0,30.16,11054.0
2020-04-06,Prince Edward Island,22,0.0,14.0,0,839.0,14.02,5346.0
2020-04-06,Yukon,7,0.0,3.0,1,775.0,17.13,18970.0
2020-04-06,Northwest Territories,5,0.0,4.0,1,1217.0,11.15,27149.0
2020-04-06,Canada,16667,323.0,12728.0,1155,336806.0,44.34,8960.0
2020-04-07,British Columbia,1291,43.0,465.0,25,43257.0,25.46,8530.0
2020-04-07,Alberta,1373,26.0,1347.0,25,65265.0,31.41,14930.0
2020-04-07,Saskatchewan,260,3.0,257.0,7,14203.0,22.14,12093.0
2020-04-07,Manitoba,217,3.0,214.0,13,13990.0,15.85,10216.0
2020-04-07,Ontario,4726,153.0,4573.0,379,82055.0,32.44,5633.0
2020-04-07,Quebec,9340,150.0,9190.0,760,104526.0,110.08,12319.0
2020-04-07,Newfoundland and Labrador,228,2.0,226.0,2,3958.0,43.72,7589.0
2020-04-07,New Brunswick,105,0.0,105.0,2,6102.0,13.52,7855.0
2020-04-07,Nova Scotia,310,0.0,310.0,17,11559.0,31.91,11899.0
2020-04-07,Prince Edward Island,22,0.0,22.0,0,939.0,14.02,5983.0
2020-04-07,Yukon,7,0.0,7.0,0,787.0,17.13,19264.0
2020-04-07,Northwest Territories,5,0.0,5.0,0,1230.0,11.15,27439.0
2020-04-07,Canada,17897,380.0,17517.0,1230,348105.0,47.61,9261.0
